id,host_id,actual_label,prob_illegal,latitude,longitude
980616234786854392,537135281,0,0.9947522648372401,40.76013,-73.95824
1302785704600506643,471177409,0,0.9910276970801482,40.741268341709024,-73.97783709938632
35914632,269987340,0,0.9901764822969398,40.74361,-73.99768
1006681477271989960,370216107,0,0.9894341068444931,40.73417425653768,-73.9957515546644
431865,361855,0,0.9893506024585945,40.8341081,-73.93948379999999
1021738415510509168,183787653,0,0.9889459586011902,40.81055,-73.94137
1157999417746123228,530541163,0,0.9888926554786841,40.71992736808164,-73.99654606543808
4936254,22087408,0,0.9887170899951063,40.7191,-73.9834
7071657,4909308,0,0.9884321868516747,40.77532,-73.95194
6000898,23708009,0,0.9883312207884356,40.78287,-73.95169
1034113003712981730,75266494,0,0.9879503926842891,40.71569,-73.99887
1038615845898550577,75266494,0,0.9879338399059985,40.71649,-73.99258
30398938,211549023,0,0.9877163062387361,40.7478,-73.98865
35038426,211549023,0,0.9874951532132511,40.74657,-73.98715
41473245,211549023,0,0.9872560544967576,40.74637,-73.98876
13685807,20446747,0,0.9866671939166264,40.7645552,-73.9921299
29509877,211549023,0,0.9860183564274498,40.74721,-73.98795
41474950,211549023,0,0.9855566299005752,40.74608,-73.98852
30767659,211549023,0,0.985135003168933,40.74795,-73.98867
37941349,211549023,0,0.9845032183246418,40.74782,-73.98868
986771708420366603,148812441,0,0.9829050769122256,40.72647,-73.98596
552639,2518984,0,0.9828090645291332,40.81711,-73.94736
31715312,204811322,0,0.9810098016787734,40.74744,-73.98702
30034070,211549023,0,0.9802052142533512,40.74619,-73.9871
1105462821419503909,75266494,0,0.9769893159421844,40.71493163141087,-73.99705129674821
41289512,211549023,0,0.9768632250208807,40.7484,-73.98757
957997561762518256,7133387,0,0.975056392388784,40.76073072741352,-73.92618970136077
819298965203188593,14855509,0,0.9734059607967803,40.8077357445906,-73.94513204043824
993726764319807393,86979892,0,0.9709850943334396,40.70380396680642,-73.91047743662554
740743485713081436,484176167,0,0.9701584879733014,40.68775,-73.75868
151199,722320,0,0.9698278863644547,40.7573,-73.91488
29592296,211549023,0,0.969405140947647,40.74806,-73.98745
1329305163271197946,671540671,0,0.969200236268059,40.699621672804405,-73.89948058299395
873916511344650748,36566468,0,0.9691612235270284,40.7811510418691,-73.914031896119
32102590,211549023,0,0.9688592472012256,40.74772,-73.98682
555681857754079373,67036224,0,0.96763849913439,40.69407411367102,-73.90286389630745
767521098040013680,250124566,0,0.96648969320572,40.8494,-73.92275
1213762639596599602,593545860,0,0.9646534371099693,40.75724,-73.926
1295058207773420592,661320282,0,0.9645367886186371,40.76408715122744,-73.92405063286866
611470894386067928,190891268,0,0.9639312909182582,40.67961,-73.78143
6634590,10620037,0,0.962706336417714,40.81056,-73.95374
710185881341802225,7450,0,0.9622660340391973,40.759928,-73.923433
43267372,51548122,0,0.9616960123068329,40.71862,-73.99574
49388478,204811322,0,0.9613803673857795,40.74789,-73.98701
975568948675780399,469822760,0,0.9611697188485292,40.80997,-73.94909
10073940,51688993,0,0.9593315617789834,40.68826,-73.80384
783202,4129805,0,0.9586727115314457,40.73277,-74.00267
612409930265187755,20614129,0,0.9582260683953383,40.65908432006836,-73.7541732788086
43688142,211549023,0,0.958208193909979,40.74642,-73.98675
39833359,306482362,0,0.9577043835572039,40.7633876,-73.90972579999999
41109712,321252889,0,0.9576649035948024,40.74829,-73.98757
43270798,51548122,0,0.956935231491711,40.71983,-73.99587
43315319,51548122,0,0.9555909578840945,40.72027,-73.99567
1325585910512256569,61484099,0,0.9552351895003998,40.68919,-73.7934
11496607,60542135,0,0.9542814384059594,40.804048279839726,-73.94549911530724
1080615169929014643,148123938,0,0.9528837165570014,40.67251,-73.76162
31333074,14855509,0,0.9525324641556362,40.81419,-73.94847
619598201001500398,9743617,0,0.9522630030576238,40.81444,-73.94295
2538248,9743617,0,0.9504983873168884,40.81504,-73.94111
50593578,381698920,0,0.9497021162123402,40.75424,-73.99854
1411811,4129805,0,0.9481208520708351,40.731,-74.00346
45688889,219517861,0,0.9475635106213496,40.70445,-74.01582
959667125949545689,517568992,0,0.9455783158448535,40.75966,-73.99453
48316249,219517861,0,0.9448838055503321,40.74528,-73.98984
1353965318849191034,678177485,0,0.9447779549128268,40.74458263696548,-73.87205680984191
1142907745550508854,294923574,0,0.9443269923970722,40.76342,-73.86202
